Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3,1617,1516,86,15,"December 1, 2020"
CITY OF GOLETA,2,369,344,20,5,"December 1, 2020"
COMMUNITY OF ISLA VISTA,0,530,522,7,1,"December 1, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,307,281,23,3,"December 1, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,238,217,14,7,"December 1, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,1154,1088,57,9,"December 1, 2020"
FEDERAL PRISON IN LOMPOC,0,1027,1024,0,3,"December 1, 2020"
CITY OF SANTA MARIA,7,4657,4473,110,74,"December 1, 2020"
COMMUNITY OF ORCUTT,4,510,478,26,6,"December 1, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,516,493,16,7,"December 1, 2020"
Out of County,,,0,0,0,"December 1, 2020"
Pending,1,419,397,22,,"December 1, 2020"
Total** ,29,11631,11100,394,137,"December 1, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,286,266,13,7,"November 30, 2020"
